kfold,bias,cor2,MSPE,RMSPE
Overall,0.00882810233753329,0.872490279783711,1.230474652507677,1.1092676198770417
k01,-0.028209956973398703,0.9263405919792633,0.6986181718762964,0.8358338183372915
k02,0.053218198229776435,0.8798591097489883,1.262582145081628,1.1236468061991847
k03,0.009851106034785045,0.9249294345906287,0.6750538714419357,0.8216166207191379
k04,-0.2065113471018085,0.901024617160246,1.0057273629619006,1.0028595928453297
k05,-0.12084328129521249,0.8515176654276457,1.4208327481795833,1.1919868909428422
k06,0.027845656380231818,0.9092991647137236,0.9489840738953411,0.9741581359796474
k07,0.2276074187797661,0.77434328334914,2.3588604784310663,1.5358582221126618
k08,-0.002761884331077173,0.8323914971826566,1.5802755191235782,1.2570900998431171
k09,0.11810888863933856,0.896833394341664,1.099805021299455,1.0487158916024182
k10,0.01083226306701867,0.850550401104134,1.2531766122361423,1.1194537115201066
