term,std_est,std_se,raw_est,raw_se,t_stat,p_val,cool1C
(Intercept),20.37127476,0.80967252,NA,NA,25.15989386,0,NA
sAreaKm2,0.4494265,0.26493756,0.00232061,0.001368,1.69634875,0.08981985,-430.9211802069284
sdJLtavg,1.77953606,0.16371784,0.61813273,0.05686839,10.86953036,0,-1.617775522095392
sBFIc,-1.01526574,0.65040897,-0.13690836,0.0877075,-1.56096517,0.11853197,7.304155860168072
sCPY100x,-2.17263026,0.52867869,-0.09100246,0.02214416,-4.10954761,3.964e-5,10.988713931469546
sv2elevm,-0.42883325,0.56673218,-0.00156328,0.00206599,-0.75667708,0.44924335,639.6806714088327
sNIDDENw,1.07773704,0.32652301,8.85902911,2.68402843,3.30064652,9.6462e-4,-0.11287918659971533
