rid,binaryID
7034,1111
7035,11
7036,111
7037,11110
7038,111100
7039,1111000
7040,11110000
7041,111100000
7066,11111
7067,111110
7068,111110110
7069,1111101100
7070,11111011000
7079,11111001110010111101
7080,1111100111001011110
7081,111110011100101111011
7086,1111111
7087,111111
7088,1111101101
7089,11111011001
7090,111110111
7091,111110101
7092,11111010
7093,1111100
7094,11111001
7095,111110010
7096,1111100101
7097,111110011
7098,1111100110
7099,111100001
7100,1111000111
7101,11110001
7102,111100011
7103,11110001111
7104,1111001
7105,11110010
7106,11110011
7107,111101
7108,111101111
7109,11110111
7110,1111011
7226,11111001110
7227,111110011100
7228,1111100111000
7229,111110011101
7230,1111100111011
7231,1111100111001
7232,1111100111001011
7233,11111001110010
7234,111110011100101
7235,11111001110011
7236,11111001110010110
7237,1111100111
7244,11111001110010111111
7245,1111100111001011111
7256,1111101
7257,11111011
7262,11111001110010111
7263,111110011100101111
7264,11111001111
7265,1111100111111
7266,111110011111
7033,1
