rid,binaryID
8333,1111
8334,1111011
8335,111101101
8336,111101
8337,1111011011
8338,11110
8339,11110110
8340,11110110110
8341,111101101100
8342,1111011011000
8343,11110110110000
8344,111101101100000
8345,1111011011000000
8346,11110110110000000
8347,1111011011000000010
8348,11110110110000000100
8349,1111011011000000010010
8350,111101101100000001001011
8351,11110110110000000100101
8352,1111011011000000010010110
8353,11110110110000000100101101
8354,111101101100000001001011010
8355,1111011011000000010010110101
8356,11110110110000000100101101011
8357,111101101100000001001011010111
8358,1111011011000000010010110101110
8359,11110110110000000100101101011101
8360,111101101100000001001011010111011
8361,1111011011000000010010110101110110
8362,11110110110000000100101101011101100
8363,111101101100000001001011010111011000
8364,1111011011000000010010110101110110000
8365,11110110110000000100101101011101100000
8366,111101101100000001001011010111011000000
8367,1111011011000000010010110101110110000000
8368,11110110110000000100101101011101100000001
8369,111101101100000001001011010111011000000011
8370,11110110111
8371,111101101110
8372,1111011011100
8373,1111011011100111
8510,11110110110000000100101101011101100001
8545,1111011011000000011
8546,11110110110000000110
8547,111101101100000001101
8548,111101101100000001101111
8549,11110110110000000110111
8550,1111011011000000011011
8551,1111011011000000011011110
8552,11110110110000000110111100
8553,111101101100000001101111000
8554,1111011011000000011011110000
8555,111101101100000001101111000001
8556,11110110110000000110111100000
8557,11110110110001
8558,111101101100010
8559,1111011011000100
8560,11110110110001001
8561,1111011011000100111
8562,111101101100010011
8563,11110110110001001111
8564,111101101100010011111
8565,1111011011000100111111
8566,11110110110001001111111
8567,111101101100010011111111
8569,111101101100000001001011010111011000011
9197,101111111
9198,1011111110
9242,1011111111
9245,101
9246,10
9247,10101
9248,101011
9249,1010
9250,1010111
9251,10101111
9252,111111
9253,11111
9254,1111110
9255,1111111
9256,1111011011001
9257,111101101100011
9258,1111011011000101
9259,11110110110001011
9260,111101101100001
9261,1111011011000011
9262,11110110110000001
9263,111101101100000011
9264,11110110110000000111
9265,111101101100000001101111001
9266,1111011011000000011011110011
9267,11110110110000000110111100001
9268,111101101100000001101111000011
9269,1111011011000000011011110001
9270,11110110110000000110111101
9271,1111011011000000011011111
9272,11110110110000000110111111
9273,111101101100000001000111111
9274,1111011011000000010001111111
9275,11110110110000000100011111111
9276,1111011011000000010001111111101
9277,111101101100000001000111111110
9278,11110110110000000100011111111011
9279,1111011011000000010001111111111
9280,111101101100000001000111111111
9281,11110110110000000100011111111111
9282,111101101100000001000111111111111
9283,1111011011000000010001111111111110
9284,1111011011000000010001111111111111
9285,11110110110000000100011111111111111
9286,1111011011000000010011
9287,1111011011000000010011111
9288,111101101100000001001111111
9289,11110110110000000100111
9290,111101101100000001001111
9291,11110110110000000100111111
9292,1111011011000000010010111
9293,11110110110000000100101111
9294,1111011011000000010010110101110111
9295,11110110110000000100101101011101111
9296,11110110110000000100101101011101101
9297,111101101100000001001011010111011010
9298,1111011011000000010010110101110110100
9299,11110110110000000100101101011101101000
9300,111101101100000001001011010111011010001
9301,1111011011000000010010110101110110100011
9302,11110110110000000100101101011101101000111
9303,111101101100000001001011010111011010001111
9304,1111011011000000010010110101110110100011110
9305,11110110110000000100101101011101101000111100
9306,11110110110000000100101101011101101000111101
9307,111101101100000001001011010111011010001111010
9308,111101101100000001001011010111011010001111010111
9309,11110110110000000100101101011101101000111101011
9310,1111011011000000010010110101110110100011110101
9311,111101101100000001001011010111011010001111011
9312,1111011011000000010010110101110110100011111
9313,11110110110000000100101101011101101000111111
9314,1111011011000000010010110101110110100110
9315,1111011011000000010010110101110110100111
9316,11110110110000000100101101011101101001
9317,1111011011000000010010110101110110101
9318,111101101100000001001011010111011011
9319,111101101100000001001011010111011000001
9320,1111011011000000010010110101110110000001
9321,1111011011000000010010110101110110001
9322,111101101100000001001011010111011001
9323,1111011011000000010010110101110110010
9324,11110110110000000100101101011101100100
9325,11110110110000000100101101011101100101
9326,1111011011000000010010110101110110011
9327,1111011011000000010010110101111
9328,1111011011000000010010110111
9329,111101101100000001001011011
9330,11110110110000000101
9331,1111011011000001
9332,11110110110000011
9333,111101101101
9334,1111011011010
9335,11110110110101
9336,11110110110111
9337,111101101101111
9338,1111011011011
9339,111101101111
9340,1111011011100101
9341,1111011011101
9342,11110110111011
9343,111101101110111
9344,11110111
9345,111101111
9449,11110110110000000100101101011101100001111
9451,1111011011000000010010110101110110000111
9493,111101101100000001001011010111011010011
9512,11
9513,111
9514,111101101100000001
9559,1011111
9560,10111
9561,1011
9562,101111
9563,1111011011000000010001
9564,111101101100000001000
9565,111101101100000001000111
9566,11110110110000000100011
9567,11110110110000000100011111
9568,1111011011000000010001111
9579,10111111
9597,11110110111001
9598,111101101110010
9599,111101101110011
15037,111101101100000001001
8332,1
