rid,binaryID
14235,1000111111011111
14252,10
14253,100
14254,1000
14255,100001111
14256,10000
14257,10000111
14258,1000011
14259,100001
14260,1000011111
14261,100001111111111
14262,1000011111111
14263,100001111111
14264,10000111111
14265,10000111111111
14266,1000011111111110
14267,10000111111111101
14268,1000011111111110111
14269,100001111111111011
14270,1000011111111110111101111
14271,10000111111111101111011111
14272,100001111111111011110111111
14273,100011
14274,1000111
14275,10001
14276,10001111
14277,100011111
14278,1000111110
14279,10001111101
14280,10001111101111
14281,100011111011
14282,100011111011111
14283,1000111110111
14284,1000111110111110
14285,10001111101111100
14286,10001111101111100111
14287,100011111011111001110
14288,1000111110111110011100
14289,1000111111
14290,10001111110111
14291,10001111110
14292,1000111111011
14293,100011111101
14294,10001111111
14295,100011111111
14296,1000111111111
14297,1000111111111011
14298,10001111111110
14299,100011111111101
14301,101
14302,1010
14303,10101
14304,101011
14305,101011111
14306,10101111
14307,1010111
14308,10101111101
14309,1010111110
14310,101011111011
14311,1010111110111
14343,1000011111111111
14344,10000111111111111
14345,100001111111111110
14348,1011
14349,101111
14350,10111111
14351,10111
14352,1011111
14353,101011111111
14354,100001111111111011111101
14355,100001111111111011111111
14356,1000011111111110111111110
14357,10000111111111101111111100
14358,100001111111111011111111000
14359,10000111111111101111111101
14360,100001111111111011111111011
14361,100001111111111011111111001
14362,1000011111111110111111110011
14363,1000011111111110111111111
14364,100001111111111111
14365,10001111101111100101
14366,100011111011111001010
14367,10001111101111100101111111
14368,100011111011111001011
14369,100011111011111001011111
14370,1000111110111110010111111
14371,1000111110111110010111
14372,10001111101111100101111
14373,1000111110111110011101
14374,100011111011111001111
14375,10001111101111101
14376,10001111101111111
14377,1000111110111111
14378,10001111111111
14379,100011111111111
14380,1000111111011101
14381,100011111101110
14382,100111
14383,10011
14384,1001
14385,1001111
14386,11
14412,1000011111111110111101
14413,10000111111111101111011
14414,100001111111111011110111
14415,100011111101111
14416,1010111111
14423,10101111111
14443,1000111110111110010
14444,1000111110111110011
14445,100011111011111001
14446,100001111111111011110
14447,10000111111111101111
14448,100001111111111011111
14449,1000011111111110111111
14450,10000111111111101111110
14451,10000111111111101111111
14251,1
