rid,binaryID
15135,10
15136,100
15137,1000
15138,10000
15139,100000
15140,1000000
15141,10000000
15142,100000000
15143,1000000000
15144,10000000000
15145,100000000001
15146,1000000000011
15147,1000000001
15148,10000000010
15149,100000000100
15150,1000000001000
15151,10000000010001
15152,100000000100011
15153,100000001
15154,1000000010
15155,10000000100
15156,100000001000
15157,1000000010000
15158,10000000100000
15159,100000001000000
15160,1000000010000001
15161,10000000100001
15162,100000001000010111
15163,100000001000010
15164,10000000100001011
15165,1000000010000101
15166,1000000010000101110
15167,100000001000011
15168,1000001
15169,10000010
15170,10001
15171,100010
15172,1000100
15195,101
15196,100011
15197,100001
15199,1000000010000011
15200,100000001000001
15205,10000000001
15206,100000000011
15208,1000000010001
15209,10000000100010
15217,10000000101
15218,1001
15219,10000001
15220,10000000011
15221,1000000001001111
15222,1000000001001
15223,10000000010011
15224,100000000100111
15225,100000000101
15226,1000000001011
15227,1000000011
15228,10000000100011
15229,100000001000111
15230,100000001000010111111
15231,10000000100001011111
15232,1000000010000101111
15233,100000001001
15234,1000000010011
15235,10000011
15236,1000101
15237,11
15134,1
