rid,binaryID
12833,1011111111010
12834,1011111111011
12835,101100
12836,1011001
12848,1000000010111001100110110001100000100001110010101101101
12849,100000001011100110011011000110000010000111001010110110
12850,10000000101110011001101100100
12851,10000000101110011010110
12852,100000001011100110011011000110000010000111001000000111100001111
12853,10111111100
12854,101111111001
12856,100000001011100110011011000110000010000111001000000111100111
12857,1000000010101011110
12858,1000001010
12859,10000010101
12860,10000000101
12862,1000000010111001100110110001100000100001110010000001111001110
12863,1000000010101011111
12864,1000001011
12865,1011111110011
12866,1000000010111001100110110001100000100011111
12867,1000000010111001100110110001100000100001110010000001111000011111
12868,10000000101110011001101100011000001000011100100000011110011
12869,10000000101110011001101100011000001000011100100000011110011101
12870,1000000010101011101
12871,10000000101010111101
12872,10000000101010111111
12873,100000001011100110011011001001111011111001
12874,10000000101110011001101100100111101111100
12875,1000000010
14453,10
14454,100
14455,1000
14456,10000
14457,100000
14458,1000000
14459,10000000
14460,100000001010
14461,1000000010111
14462,10000000101110
14463,1000000010111001
14464,10000000101110011
14465,100000001011100
14466,100000001011100110
14467,1000000010111001100
14468,10000000101110011001
14469,100000001011100110011
14470,1000000010111001100110
14471,10000000101110011001101
14472,100000001011100110011011
14473,1000000010111001100110110
14474,10000000101110011001101100
14475,100000001011100110011011000
14476,1000000010111001100110110001
14477,10000000101110011001101100011
14478,100000001011100110011011000110
14479,1000000010111001100110110001100
14480,10000000101110011001101100011000
14481,100000001011100110011011000110000
14482,1000000010111001100110110001100000
14483,10000000101110011001101100011000000
14484,100000001011100110011011000110000000
14485,1000000010111001100110110001100000000
14486,10000000101110011001101100011000000000
14487,10000000101110011001101100011000000000011
14488,100000001011100110011011000110000000000
14489,1000000010111001100110110001100000000001
14490,100000001011100110011011000110000000000110111
14491,10000000101110011001101100011000000000011011
14492,100000001011100110011011000110000000000110
14493,1000000010111001100110110001100000000001101
14494,1000000010111001100110110001100000000001101111
14495,10000000101110011001101100011000001
14496,100000001011100110011011000110000010
14497,1000000010111001100110110001100000100
14498,10000000101110011001101100011000001000
14499,100000001011100110011011000110000010000
14500,100000001011100110011011000110000010000111
14501,1000000010111001100110110001100000100001110
14502,10000000101110011001101100011000001000011100
14503,100000001011100110011011000110000010000111000
14504,1000000010111001100110110001100000100001110000
14505,10000000101110011001101100011000001000011100000
14506,100000001011100110011011000110000010000111000001
14507,1000000010111001100110110001100000100001110000011
14508,100000001011100110011011000110000010000111001
14509,1000000010111001100110110001100000100001110010
14510,10000000101110011001101100011000001000011100100
14511,100000001011100110011011000110000010000111001000
14512,1000000010111001100110110001100000100001110010000
14513,10000000101110011001101100011000001000011100100000
14514,100000001011100110011011000110000010000111001000000
14515,1000000010111001100110110001100000100001110010000001101
14516,10000000101110011001101100011000001000011100100000011010
14517,100000001011100110011011000110000010000111001000000110100
14518,10000000101110011001101100011000001000011100100000011010010111
14519,100000001011100110011011000110000010000111001000000110100101
14520,1000000010111001100110110001100000100001110010000001101001011
14521,10000000101110011001101100011000001000011100101
14522,100000001011100110011011000110000010000111001010
14523,10000000101110011001101100011000001000011100101001
14524,100000001011100110011011000110000010000111001010011
14525,1000000010111001100110110001100000100001110010100
14526,100000001011100110011011000110000010000111001011111
14527,10000000101110011001101100011000001000011100101111
14528,100000001011100110011011000110000010000111001011
14529,1000000010111001100110110001100000100001110010111
14530,1000000010111001100110110001100000100001110010111110
14531,10000000101110011001101100011000001000011100101111100
14532,100000001011100110011011000110000010000111001011111000
14533,1000000010111001100110110001100000100001110010111110000
14534,100000001011100110011011001
14535,1000000010111001100110110010
14536,1000000010111001100110110001100000100001110010101
14537,10000000101110011001101100011000001000011100101011011
14538,1000000010111001100110110001100001
14539,10000000101110011001101100011000010
14540,10000000101110011001101100100111
14541,100000001011100110011011001001111
14542,10000000101110011001101100100111101
14543,1000000010111001100110110010011110
14544,100000001011100110011011001001111011111
14545,1000000010111001100110110010011110111110
14546,10000000101110011001101100011001
14547,100000001011100110011011000110010
14548,1000000010111001100110110001100101
14549,10000000101110011001101100011001011111
14550,100000001011100110011011000110010111
14551,10000000101110011001101100011001011
14552,100000001011100110011011000110010111111
14553,1000000010111001100110110001100101111
14554,1000000010111001100110110001100101111110
14555,10000000101110011001101100011001011111101
14556,100000001011100110011011000110010111111011
14557,1000000010111001100110110001100101111110111
14558,10000000101110011001101100011001011111101111
14559,10000000101110011001101100011000001000011101
14560,1000000010111001100110110001100000100001111
14561,10000000101110011001101100011000001000011110
14562,1000000010111001100110110001100000100001110010000001111001111
14563,100000001010101111011
14564,1000000010101011110111
14565,11
14566,1001
14567,10011
14568,1000001
14569,10000010
14570,100000100
14571,1000001001
14572,10000010011
14573,100000100111
14574,1000001001111
14575,10000010011110
14576,1000001001111001
14577,100000100111100
14578,10000010011110011
14579,100000100111100110
14580,1000001001111001100
14581,10000010011111
14582,1000001001111001101
14583,100000100111100111
14584,1000001001111001110
14585,10000010011110011101
14586,10000010011110011101111
14587,1000001001111001110111
14588,100000100111100111011
14589,1000001001111001111
14590,100000100111101
14591,1000001001111010
14592,10000010011110101
14593,10000010011110101111
14594,100000100111101011
14595,100000100111101011111
14596,1000001001111010111
14597,1000001001111011
14598,100000101011
14599,1000001010110
14600,10000010101100
14601,10000010101101
14602,100000101011011
14603,1000001010111
14604,100000101
14605,10000011
14606,1000000010101
14607,10000000101010
14608,1000000010101001
14609,100000001010100
14610,100000001010100111
14611,10000000101010011
14612,1000000010101001110
14613,10000000101011
14614,100000001010101010
14615,100000001010101011
14616,100000001010101011111
14617,10000000101010101111
14618,1000000010101010111
14619,1000000010101010111111
14620,1000000010101001111
14621,10000000101010011110
14622,10000000101010011110111
14623,10000000101010011111
14624,100000001010100111111
14625,100000001010100111101011
14626,10000000101010011110101111
14627,10000000101010011110101
14628,1000000010101001111010111
14629,100000001010100111101011111
14630,10000000101111
14631,100000001011110
14632,1000000010111100
14633,10000000101111000
14634,100000001011110000
14635,1000000010111100000
14636,10000000101111000000
14637,100000001011110000000
14638,1000000010111100000001
14639,10000000101111000000011
14640,100000001011110000000111
14641,100000001011111
14642,1000000010111110
14643,1000000010111111
14644,10000000101111111
14645,100000001011110111
14646,10000000101111011
14647,1000000010111101
14648,1000000010111100001
14649,10000000101111000010111
14650,10000000101111000010
14651,100000001011110000101
14652,1000000010111100001011
14653,100000001011110000101111
14654,100000001011110000111
14655,1000000010111100001111
14656,10000000101111000011
14657,10000000101111000011111
14658,100000001011110000111111
14659,10000000101111000001
14660,100000001011110000011
14661,1000000010111100000011
14662,100000001011110000001
14663,100000001011110001
14664,10000000101111001
14665,10000000101111001111
14666,10000000101111001101
14667,100000001011110011011
14668,100000001011100111
14669,1000000010111001110
14670,10000000101110011101
14671,100000001011100111011
14672,1000000010111001110110
14673,10000000101110011101101
14674,1000000010111001110110111
14675,100000001011100111011011
14676,1000000010111001110111
14677,1000000010111001111
14678,10000000101110011001101101
14679,100000001011100110011011010
14680,1000000010111001100110110101
14681,100000001011100110011011011111
14682,10000000101110011001101101111
14683,100000001011100110011011011
14684,1000000010111001100110110111
14685,10000000101110011001101100011001111
14686,100000001011100110011011000110011111
14687,100000001011100110011011000110011
14688,1000000010111001100110110001100111
14689,1000000010111001100110110001100111111
14690,100000001011100110011011000110010111111111
14691,10000000101110011001101100011001011111111
14692,1000000010111001100110110001100101111111
14693,1000000010111001100110110001100101111111111
14694,10000000101110011001101100011000011
14695,1000000010111001100110110001100000001
14696,10000000101110011001101100011000000011
14697,10000000101110011001101100011000000001
14698,100000001011100110011011000110000000011
14699,100000001011100110011011000110000000000111
14700,1000000010111001100110110001100000000001111
14701,10000000101110011001101100011000000000011111
14702,100000001011100110011011000110000000000111111
14703,100000001011100110011011000110000000001
14704,10000000101110011001101100011000000000111
14705,1000000010111001100110110001100000000011
14706,100000001011100110011011000110000001
14707,100000001011100110011011000110000011
14708,1000000010111001100110110001100000110
14709,1000000010111001100110110001100000110111
14710,10000000101110011001101100011000001101111
14711,1000000010111001100110110001100000110101111
14712,10000000101110011001101100011000001101011111
14713,10000000101110011001101100011000001101011
14714,1000000010111001100110110001100000110101
14715,100000001011100110011011000110000011010111
14716,1000000010111001100110110001100000111
