rid,binaryID
8380,1011110
8381,10111101
8382,101111010
8383,1011110101
8384,101111010111
8385,10111101011
8386,1011110101111
8573,10111101111111110111
8574,101111011111
8576,111011
9103,1111111111
9104,111110
9105,11111011
9106,1111101
9107,11110
9108,1111011
9109,111101
9110,1110
9111,11101
9112,10011
9113,1001
9114,100
9115,1011110111
9116,101111011
9117,10111101110
9118,10111101111
9119,1011111
9120,10111111
9428,101111011111111111
9429,1011110111111111110
9430,10111101111111111100
9431,101111011111111111000
9432,1011110111111111111
9433,10111101111111111110
9434,10111101111111111111
9435,101111011111111111001
9436,1011110111111111110010
9437,1011110111111111110011
9438,10111101111111111101
9439,101111011111111111011
9487,11111111
9494,11111
9495,1111
9515,101
9516,1011
9517,101111
9518,10111
9519,10
9551,111
9552,11
9553,111111111
9580,111111
9581,1111111
9679,101111011111111101
9680,10111101111111110
9681,1011110111111111011
9682,10111101111111111
9683,1011110111111111
9684,101111011111111
9685,10111101111111
9686,1011110111111
8379,1
