rid,binaryID
8687,11111101
8688,1111110
8689,111111011
8690,1111110110
8691,11111101100
8692,111111011000
8693,1111110110000
8694,11111101100000
8695,111111011000000
8696,11100
8697,111001
8698,1110
8699,111011
8700,1110111
8701,11101
8702,11110
8703,1111011
8704,111101
8705,11110111
8706,1111011111
8707,111101111
8708,1111111
8709,11111111
8710,111111111
8711,1111111111
8712,1111110111
8713,11111101111
8714,11111101101
8715,111111011010
8716,111111011011
8717,1111110110111
8718,11111101101111
8719,111111011011111
8720,1111110110111111
8721,111111011001
8722,1111110110011
8723,111111011000001
8724,1111110110000010
8725,111111011000001011
8726,11111101100000101
8727,1111110110000010110
8728,11111101100000101101
8729,1111110110000011
8730,1111110110000010111
8731,11111101100000101111
8732,11111101100001
8733,111111011000011
8734,1111110110001
8735,11111101100011
8736,1111110110001101
8737,111111011000110
8738,11111101100011011
8739,111111011000111
8740,1101
8741,110
8742,1011
8743,10111
8744,101
8745,10
9446,1111110110000010111110
9454,11
9455,111
9459,111111011000001011111
9474,1111110110000010111111
9574,1111
9575,11111
9576,111111
9542,1
