rid,binaryID
9122,111111111
9123,11111111
9125,10
9126,1000
9127,100
9128,10011
9129,1001
9130,111
9131,11
9132,1110
9133,11100111
9134,11100
9135,111001
9136,1110011
9137,11101
9138,100001
9139,10000
9140,1000011
9141,10000111
9142,1000111
9143,100011
9144,10001111
9145,10001
9146,100011111
9147,1000111111110
9148,10001111111101
9149,10001111110
9150,1011
9151,101
9152,10111
9153,101111
9457,111111
9508,1000111111
9509,10001111111
9510,100011111111
9530,1111111
9554,11111
9555,1111
9556,100011111111111
9557,1000111111111
9558,10001111111111
9124,1
