rid,binaryID
6659,100
6660,1001
6661,101011111111110
6662,1010111111001110111110
6663,10101111110011101111101
6664,101011111100111011110
6995,10
6996,101
6997,1010
6998,10101
6999,101011
7000,1010111111
7001,10101111110
7002,101011111100
7003,1010111111001
7004,10101111110010
7005,101011111100100
7006,1010111111001000
7007,10101111110010000
7008,101011111100100000
7009,1010111111001000000
7010,10101111110010000000
7011,101011111100100000000
7012,1010111111001000000000
7013,10101111110010000000000
7014,101011111100100000000000
7015,1010111111001000000000001
7016,1010111111001000000000001011
7017,10101111110010000000000010
7018,101011111100100000000000101
7019,10101111110010000000000010110
7020,101011111100100000000000101100
7042,11
7056,10101111110011
7057,101011111100111
7058,101011111100111011111
7059,1010111111001110111111
7060,10101111110011101111111
7061,10101111111111
7062,10101111111
7063,101011111111
7064,1010111111111
7065,101011111111111
7071,101011111100101
7072,1010111111001010
7078,101011111100100000001
7084,101011111100100110
7085,101011111100100111
7175,1010111111001110111101
7176,1010111111001011
7177,10101111110010001
7178,101011111100100010
7179,1010111111001000101
7180,101011111100100011
7181,101011111100100001
7182,1010111111001000011
7183,10101111110010000001
7184,10101111110010000000000010111
7185,10101111110010000000000010110111
7186,101011111100100000000000101101
7187,1010111111001000000000001011011
7188,1010111111001000000000001111
7189,10101111110010000000000011
7190,101011111100100000000000111
7191,10101111110010000000000011110
7192,101011111100100000000000111100
7193,10101111110010000000000011111
7194,101011111100100000000000111101
7195,1010111111001000000000001111011
7196,101011111100100000000001
7197,1010111111001000000000010
7198,1010111111001000000000011
7199,10101111110010000000000110
7200,101011111100100000000001101
7201,10101111110010000000000111
7202,101011111100100000000001110
7203,1010111111001000000000011101
7204,101011111100100000000001111
7205,10101111110010000000001
7206,1010111111001000000001
7207,10101111110010000000011
7208,1010111111001000000001101
7209,101011111100100000000110
7210,1010111111001000000001111
7211,101011111100100000000111
7212,10101111110010000000011110
7213,10101111110010000000011111
7214,1010111111001000001
7215,1010111111001001
7216,10101111110010010
7217,101011111100100100
7218,10101111110010011
7219,101011111100100101
7220,1010111111011
7221,101011111101
7222,101011101
7223,1010111011
7224,1011
7225,10111
7238,1010111111001110111
7239,10101111110011101111
7240,101011111100111011
7242,10101111110011101
7243,1010111111001110
7260,10101111110011111
7261,1010111111001111
7267,10101110
7268,10101111
7269,1010111
7270,101011111
6994,1
