rid,binaryID
3292,1111011111111010111110
3293,1111011111111010111111
3294,11110111111110101111110
3295,11110111111110101111111
3296,111101111111101011111110
3297,1111011111111010111111110
3298,111101111111101011111111
3299,1111011111111010111111111
8527,1111
8528,11110
8529,1111011
8530,111101
8531,111101111111
8532,11110111111
8533,1111011111
8534,1111011111111
8535,11110111111110
8536,1111011111111010111
8537,111101111111101011
8538,11110111111110101
8539,11110111111110101110
8540,111101111111101011100
8580,111101111111101011110
9092,11110111111110111
9093,111101111111101011101
9094,11110111111110101111
9095,111101111111101011111
9096,11111
9097,111111
9418,111101111111111
9419,1111011111111110
9420,11110111111111101
9421,1111011111111111
9422,11110111111111110
9423,111101111111111111
9424,11110111111111111
9425,1111011111111111111
9426,11110111111111111111
9427,111101111111111111111
9521,11
9522,111
9526,11110111
9527,111101111
9631,1111011111111010
9632,1111011111111011
9633,111101111111101
9690,11110111111111
9520,1
