rid,binaryID
15319,10
15320,100
15321,1000
15322,10000
15323,100000
15324,1000000
15325,10000001
15326,100000011
15327,1000000110
15328,10000001100
15329,100000011001
15330,1000000110011
15331,10000001100110
15332,100000011001100
15434,10001
15435,100010
15436,1000100
15437,10001001
15448,1001
15449,10010
15613,10011
15614,100110
15615,10001111
15616,100011
15617,1000111
15618,100011110
15619,1000111101
15620,100011111
15621,100010010
15622,1000100100
15623,1000100101
15624,10001001011
15625,100010011
15626,1000100110
15627,1000100111
15628,10001001111
15629,1000101
15630,10001011
15631,10000001101
15632,10000001100111
15633,100000011001111
15634,100000011001101
15635,1000000111
15636,1000001
15637,100001
15638,1000011
15639,101
15640,1011
15641,10111
15642,101111
15643,1011111
15644,10111111
15645,101111111
15646,11
15660,10011110
15661,1001111
15662,100111
15663,10011111
15318,1
