rid,binaryID
7996,11
7997,111
7998,1111
7999,111101
8000,11110
8001,1111011110
8002,1111011110011
8003,11110111100
8004,111101111001
8005,11110111100110
8006,111101111001100
8007,1111011110011000
8008,11110111100110000
8009,1111101
8010,111110
8064,111101111011
8065,1111011110111
8066,11110111101
8067,11110111101110
8068,1111011111
8069,11110111110
8070,111101111100
8071,1111011111000
8072,1111011111000011
8073,11110111110000
8074,111101111100001
8075,11110111110000110
8076,111101111100001100
8077,1111011111000011001
8078,11110111110000110010
8079,111101111100001100100
8080,1111011111000011001000
8081,11110111110000110010000
8082,11111010
8083,111110101
8084,1111101010
8120,111110110
8121,1111101101
8223,1111101011
8224,11111111
8225,111111111
8226,1111010
8231,1111011111001
8232,11110111110001
8233,111101111100011
8234,11110111110000111
8235,111101111100001111
8236,1111011111000011001001
8237,11110111110000110010001
8238,111101111100001100101
8239,11110111110000110011
8240,111101111100001100111
8241,111101111100001101
8242,111101111101
8243,11110111100110001
8244,111101111001100011
8245,1111011110011001
8246,111101111001101
8247,11110111100111
8248,11110111101111
8249,111101111011111
8251,11110111
8252,111101111
8255,1111011
8256,11111
8257,11111011
8258,111110111
8265,1111111
8266,111111
8267,11110111111
7995,1
