rid,binaryID
8613,10
8614,1001
8615,100
8616,10011
8617,100111
8618,101
8619,101111
8620,10111
8621,1011
8622,11
8623,1111
8624,111
8625,11110
8626,111101
8627,1111011
8628,11110110
8629,111101100
8630,1111011000
8631,11110110001
8632,111101100011
8633,1111011000110
8634,11110110001100
8635,111101100011000
8636,111101101
8637,1111011010
8638,1111011011
8639,111101100011001
8640,11110110001101
8641,111101100011010
8642,111101100011011
8643,1111011000111
8644,1111011001
8645,11110110011
8646,111101100111
8647,11110111
8648,111101111
8649,1111011111
8650,11110111110
8651,11110111111
8652,111101111110
8653,11110111111111
8654,111101111111
8655,1111011111111
8656,11111
8657,111111
9452,1111011111111111
9453,11110111111111110
9456,111101111111111
9503,11110111111111111
8612,1
