rid,binaryID
8447,10
8448,101
8449,1010
8450,10101
8451,101011
8452,1010110
8453,10101100
8454,101011000
8455,1010110000
8456,10101100000
8457,101011000001
8458,1010110000010
8459,10101100000100
8460,101011000001000
8461,101011000001000011
8462,1010110000010000
8463,10101100000100001
8464,1010110000010000111
8465,1010110000010000111111
8466,10101100000100001111
8467,10101100000100001111111
8468,1010110000010000111111111
8469,101011000001000011111
8470,101011000001000011111111
8471,10101100000100001111111110
8472,10101100000100001111111110111
8473,1010110000010000111111111011
8474,101011000001000011111111101
8475,101011000001000011111111101110
8476,10101100000100001111111110111001
8477,1010110000010000111111111011100
8478,1010110000010000111111111011100111
8479,101011000001000011111111101110011
8480,10101100000100001111111110111001110
8514,10101100000111
8515,1010110000011
8516,1010110000011111
8517,101011000001111
8518,101011000001111111011
8519,101011000001111111011111
8520,1010110000011111110111110
8521,101011000001111111011111001
8522,1010110000011111110111110011
8523,10101100000111111101111100
8524,1010110001
8525,10101100010
8526,101011000100
8541,11
8542,111
8543,1110
8544,11101
8601,101111101
8602,10111110
8750,1111
8751,11111
8752,111111
8753,10101111111111
8754,101011111111
8755,101011111
8756,1010111
8757,10101111
8758,1010111111111
8759,1010111111
8760,10101111111
8761,101011000101
8762,10101100011
8763,1010110000010001
8764,1010110000010001111
8765,10101100000100011111
8766,101011000001000111111101
8767,10101100000100011111110
8768,1010110000010001111111110
8769,10101100000100011111111101
8770,10101100000100011111111111
8771,1010110000010001111111111
8772,1010110000010001101
8773,10101100000100001111111111
8774,101011000001000011111111111
8775,1010110000010000111111111111
8776,101011000001000011111111111101
8777,10101100000100001111111111110
8778,10101100000100001111111111111
8779,1010110000010000111111111011101
8780,10101100000100001111111110111011
8781,1010110000010000111111111011101111
8782,10101100000100001111111110111011111
8783,101011000001000011111111101110111
8784,101011000001000011111111101110111110
8785,101011000001000011111111101110111111
8786,10101100000100001111111110111001111
8787,10101100000100001111111110111001111111
8788,101011000001000011111111101110011111111
8789,1010110000010000111111111011100111111
8790,10101100000100001111111110111001111111111
8791,101011000001000011111111101110011111
8792,1010110000010000111111111011100111111111
8793,101011000001000011111111101110011111111110
8794,1010110000010000111111111011100111111111100
8795,10101100000100001111111110111001111111111001
8796,101011000001000011111111101110011111111111
8797,1010110000010000111111111011100111111111110
8798,101011000001000011111111101110011111111111001
8799,1010110000010000111111111011100111111111110011
8800,10101100000100001111111110111001111111111100
8801,1010110000010000111111111011100111111111111
8802,10101100000100001111111110111001111111111101
8803,101011000001000011111111101110011111111111011
8804,1010110000010000111111111011100111111111101
8805,10101100000100001111111110111001111111111011
8806,101011000001000011111111101111
8807,1010110000010000111111111011111
8808,101011000001001
8809,10101100000101
8810,101011000001111110111
8811,10101100000111111011
8812,1010110000011111101111
8813,1010110000011111101
8814,10101100000111111011111
8815,101011000001111110111111
8816,101011000001111111001
8817,1010110000011111110011
8818,101011000001111111011101111
8819,101011000001111111011101
8820,10101100000111111101110111
8821,1010110000011111110111011
8822,1010110000011111110111011110
8823,1010110000011111110111011111
8824,10101100000111111101110111111
8825,101011000001111111011101111111
8826,1010110000011111110111011111111
8827,10101100000111111101110111111111
8828,1010110000011111110111111
8829,10101100000111111101111111
8830,1010110000011111111111111
8831,101011000001111111111
8832,10101100000111111111111111
8833,101011000001111111111111
8834,10101100000111111111
8835,10101100000111111111111
8836,1010110000011111111111
8837,101011000001111111111111110111111111
8838,10101100000111111111111111011
8839,1010110000011111111111111101111111
8840,101011000001111111111111110
8841,1010110000011111111111111101111
8842,101011000001111111111111110111111
8843,101011000001111111111111110111
8844,10101100000111111111111111011111111
8845,1010110000011111111111111101
8846,10101100000111111111111111011111
8847,1010110000011111111111111101111111110
8848,1010110000011111111111111101111111110101
8849,1010110000011111111111111111
8850,10101100000111111111111111111
8851,101011000001111111111111111
8852,101011000001111111111111111110
8853,101011000001111111111111111111
8854,1010110000011111111111111101111111111
8855,10101100000111111111111111011111111111
8856,10101100001
8857,101011001
8858,10101101
8859,101011011
8860,101111
8861,1011111
8862,10111111
8863,1011
8864,10111
9460,101011000001111111011111001101
9461,10101100000111111101111100110
9469,10101100000111111101111101111011
9470,101011000001111111011111011110
9471,1010110000011111110111110111101
9472,10101100000111111101111100111
9473,101011000001111111011111001110
9483,1010110000011111111111111101111111110111111
9484,10101100000111111111111111011111111101111
9485,101011000001111111111111110111111111011111
9505,101011000001111111011111001111
9506,101011000001111111011111011111
9543,10101100000111111101111101111
9544,10101100000111111101111101
9545,101011000001111111011111011
9546,1010110000011111110111110111
9547,101011000011
9582,101011000001000111111
9583,1010110000010001111111
9584,101011000001000111111111
9585,10101100000100011111111
9621,101011000001111110
9622,10101100000111111
9623,101011000001111111
9624,10101100000111111100
9625,1010110000011111110
9626,1010110000011111111
9627,10101100000111111101
9628,10101100000111111101110
9629,1010110000011111110111
9630,10101100000111111101111
9639,101011000001000110
9640,10101100000100011
9641,101011000001000111
9642,101011000001111111111111110111111111010
9643,10101100000111111111111111011111111101
9644,1010110000011111111111111101111111110110
9645,101011000001111111111111110111111111011
9646,1010110000011111111111111101111111110111
8446,1
