rid,binaryID
1209,11111101011011100011110111001111111101011010
1210,111111010110111000111101110011111111010110100
1211,111111010110111000111101110011111111010110101
1212,11111101011011100011110111001111111101010
1213,1111110101101110001111011100111111110100
1214,11111101011011100011110111001111101
1215,111111010110111000111101110011111011
1216,1111110101101110001111011100111110111
1217,11111101011011100011110111001110
1218,1111110101101110001111011100111011
1219,111111010110111000111101110011101
1220,111111010110111000111101110011101111
1221,11111101011011100011110111001110111
1222,111111010110111000111101110010
1223,1111110101101110001111011100101
1224,1111110101101110001111011101111110110
1225,111111010110111000111101110111111011111
1226,11111101011011100011110111011111101111
1227,111111010110111000111101110111111111011100110101
1228,1111110101101110001111011101111111110111001101110
1229,111111010110111000111101110111111111011100110111011
1230,1111110101101110001111011101111111110111001101110110
1231,1111110101101110001111011101111111110111001101110111
1232,11111101011011100011110111011111111101110011011101
1233,11111101011011100011110111011111111101110011011111110
1234,111111010110111000111101110111111111011100110111111100
1235,1111110101101110001111011101111111110111001101111111001
1236,111111010110111000111101110111111111011100110111111101
1237,1111110101101110001111011101111111110111001101111111011
1238,111111010110111000111101110111111111011100110111111110
1239,1111110101101110001111011101111111110111001101111111100
1240,11111101011011100011110111011111111101110011011111111001
1241,1111110101101110001111011101111111110111001101111111100101
1242,111111010110111000111101110111111111011100110111111110010
1243,11111101011011100011110111011111111101110011011111111001011
1244,111111010110111000111101110111111111011100110111111110010111
1245,1111110101101110001111011101111111110111001101111111100101111
1246,1111110101101110001111011101111111110111001101111111101
1247,1111110101101110001111011101111111110111001101111111100111
1248,111111010110111000111101110111111111011100110111111110011
1249,111111010110111000111101110111111111011100110111111111101
1250,1111110101101110001111011101111111110111001101111111111011
1251,11111101011011100011110111011111111101110011011111111110
1252,1111011101101
1253,111101110110
1254,11110111011
1255,111101110111
1256,1111011101111
1257,11110111011111
1258,11110111011111101
1259,1111011101111111111
1260,111101110111111111
1261,11110111011111111111
1262,111101110111111111110
1263,1111011101111111111101
1264,11110111011111111111011
1265,1111011101111111111101110111
1266,11110111011111111111011101
1267,111101110111111111110111011
1268,11110111011111111111011101110
1269,111101110111111111110111011101011
1270,11110111011111111111011101110101111011
1271,11110111011111111111011101110101111011011
1272,111101110111111111110111011101011110110
1273,1111011101111111111101110111010111101101
1274,11110111011111111111111
1275,111101110111111111111
1276,1111011101111111111111
1277,111101110111111111111111
1278,11110111011111111111011111
1279,111101110111111111110111111
1280,1111011101111111111101111111
1281,111101110111111111110111111111
1282,1111011101111111111101111111111
1283,11110111011111111111011111111111
1284,11110111011111111111011111111
1285,111101110111111111110111011101101
1286,1111011101111111111101110111011011
1287,111101110111111111110111011101111
1288,111101110111111111110111011101111101
1289,1111011101111111111101110111011111010
1290,11110111011111111111011101110111110100
1291,111101110111111111110111011101111101000
1292,1111011101111111111101110111011111010000
1293,11110111011111111111011101110111110100000
