rid,binaryID
9869,1111111110
9871,10110110
10289,111100110
10290,11110011
10291,1111001
10292,111100
10293,11110
10294,111101
10295,1111011
10296,11110111
10297,11110111111
10298,111101111111
10299,1111011111111
10300,11110111111110
10301,111101111111100
10302,10110111110
10303,10110111111
10304,1001
10305,10011
10306,100
10307,1011
10308,111101111111101
10309,11110111111111
10310,111101111111111
10311,11110111111111111
10312,1111011111111111
10313,11110111101
10314,111101111011
10315,111100111
10321,11111
10322,111111
10323,1111111
10358,1111111111
10359,1011011111011
10360,111111111
10372,10110
10438,101101111101
10439,10111
10440,101111
10441,1011001
10442,101100
10443,10110011
10444,11111111
10509,1111011110
10510,1111011111
10511,111101111
10536,1011011111
10537,101101111
10538,101101
10539,1011011
10540,10110111
10545,101
10546,10
10547,11
10548,1110
10549,11101
10550,111011
10551,111
10552,1111
10553,1
